OncotreePrimaryDisease,Drug,F-statistic,p-value,Higher in,name,moa,target
Invasive Breast Carcinoma,BRD-K84036904-001-08-8::2.500018826::MTS004,4.967632314605784,0.02623750142912313,Invasive Breast Carcinoma,17-alpha-methyltestosterone,aromatase inhibitor,AR
Invasive Breast Carcinoma,BRD-K86873305-236-14-7::2.448463554::MTS004,8.868374587848379,0.0030323259712317302,Other Types,piperacillin,bacterial cell wall synthesis inhibitor,
Invasive Breast Carcinoma,BRD-K89490285-001-08-1::2.521612095::MTS004,5.080203891583079,0.024601398966403867,Invasive Breast Carcinoma,bentazepam,benzodiazepine receptor agonist,
Invasive Breast Carcinoma,BRD-K96471533-001-09-0::2.592774962::MTS004,4.185606636449469,0.041253404713325566,Invasive Breast Carcinoma,nitazoxanide,pyruvate ferredoxin oxidoreductase inhibitor,
Pancreatic Adenocarcinoma,BRD-A00827783-001-24-6::2.5::HTS,5.499557757363085,0.019371337327407284,Pancreatic Adenocarcinoma,dyphylline,"adenosine receptor antagonist, phosphodiesterase inhibitor","ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B"
Pancreatic Adenocarcinoma,BRD-A01593789-001-03-1::2.5::HTS,11.966768785326437,0.0005829433274234313,Other Types,chlormadinone-acetate,5 alpha reductase inhibitor,PGR
Pancreatic Adenocarcinoma,BRD-A01643550-001-04-9::2.5::HTS,4.124106618575298,0.042766653941228694,Pancreatic Adenocarcinoma,prednisolone-acetate,glucocorticoid receptor agonist,NR3C1
Pancreatic Adenocarcinoma,BRD-A04203391-001-08-3::2.5::HTS,4.273676470977436,0.03916433091999289,Other Types,piricapiron,"dopamine receptor antagonist, serotonin receptor antagonist",HTR2A
Pancreatic Adenocarcinoma,BRD-A04327189-001-15-1::2.5::HTS,4.224166947374195,0.040317059688774005,Other Types,synephrine,adrenergic receptor agonist,ADRA1A
Pancreatic Adenocarcinoma,BRD-A06352508-001-03-7::2.5::HTS,4.077416130231903,0.04393769242065889,Pancreatic Adenocarcinoma,SB-218078,CHK inhibitor,CHEK1
Pancreatic Adenocarcinoma,BRD-A06627858-236-03-0::2.5::HTS,5.7137036236435454,0.01716365610931733,Pancreatic Adenocarcinoma,monensin,bacterial permeability inducer,
Pancreatic Adenocarcinoma,BRD-A07563059-035-01-3::2.5::HTS,3.9237706648843265,0.04810119959023837,Other Types,bopindolol,adrenergic receptor antagonist,"ADRB1, ADRB2, ADRB3, HTR1A, HTR1B"
Pancreatic Adenocarcinoma,BRD-A07704283-001-01-3::2.5::HTS,5.781686559585515,0.01652056431172727,Other Types,isofloxythepin,dopamine receptor antagonist,
Pancreatic Adenocarcinoma,BRD-A07780951-065-10-0::2.58::HTS,6.868171186084585,0.009028192208475163,Other Types,metaproterenol,adrenergic receptor agonist,ADRB2
Pancreatic Adenocarcinoma,BRD-A07815743-001-01-1::2.5::HTS,7.442925443120876,0.006569663842252238,Other Types,kakonein,"GABA receptor antagonist, serotonin receptor antagonist",
Pancreatic Adenocarcinoma,BRD-A09554849-236-07-6::2.5::HTS,4.472842493562515,0.03488113334890273,Other Types,8-bromo-cAMP,PKA activator,
Pancreatic Adenocarcinoma,BRD-A09925278-003-05-6::2.5::HTS,4.17654960517996,0.04145277457038806,Other Types,etilefrine,adrenergic receptor agonist,"ADRA1A, ADRB1"
Pancreatic Adenocarcinoma,BRD-A10903566-003-07-7::2.5::HTS,3.8969702128126986,0.0488834198625095,Other Types,imiloxan,adrenergic receptor antagonist,"ADRA2A, ADRA2B"
Pancreatic Adenocarcinoma,BRD-A12230535-001-06-7::2.5::HTS,11.93722332815818,0.0005935719901749868,Pancreatic Adenocarcinoma,nutlin-3,MDM inhibitor,"MDM2, TP53"
Pancreatic Adenocarcinoma,BRD-A14240607-003-26-1::2.5::HTS,4.3069561031872405,0.038424451564241124,Other Types,octopamine,trace amine associated receptor agonist,"F10, TAAR1"
Pancreatic Adenocarcinoma,BRD-A17883755-001-06-1::2.5::HTS,5.202144882492123,0.022933792451642194,Pancreatic Adenocarcinoma,lenalidomide,anticancer agent,"CDH5, CRBN, PTGS2, TNF, TNFSF11"
Pancreatic Adenocarcinoma,BRD-A22267103-003-13-1::2.5::HTS,7.240891648313934,0.007340164264728957,Other Types,drofenine,,
Pancreatic Adenocarcinoma,BRD-A24191444-046-02-1::2.5::HTS,5.006647285949365,0.02564692637774771,Other Types,ifenprodil,"adrenergic receptor antagonist, glutamate receptor antagonist","GRIN1, GRIN2B"
Pancreatic Adenocarcinoma,BRD-A25234499-001-18-3::2.5::HTS,4.162270553343224,0.041804255236724465,Pancreatic Adenocarcinoma,aminoglutethimide,glucocorticoid receptor antagonist,"CYP11A1, CYP19A1"
Pancreatic Adenocarcinoma,BRD-A25608658-001-01-1::2.5::HTS,5.922770730406101,0.015259247298380404,Pancreatic Adenocarcinoma,narasin,antiprotozoal agent,
Pancreatic Adenocarcinoma,BRD-A27732521-003-08-3::2.5::HTS,3.9036695421945864,0.048683804881451014,Other Types,tolperisone,voltage-gated sodium channel blocker,"CYP2C19, CYP2D6"
Pancreatic Adenocarcinoma,BRD-A27883417-300-01-6::2.5::HTS,11.091651323146198,0.000925757650220756,Pancreatic Adenocarcinoma,alexidine,phosphatidylglycerophosphatase inhibitor,PTPMT1
Pancreatic Adenocarcinoma,BRD-A28301258-001-03-0::2.5::HTS,5.686287088737768,0.017433448979731387,Pancreatic Adenocarcinoma,salinomycin,,
Pancreatic Adenocarcinoma,BRD-A28301258-001-04-8::2.5::HTS,7.26058474503139,0.007272913221297744,Pancreatic Adenocarcinoma,salinomycin,,
Pancreatic Adenocarcinoma,BRD-A29281099-003-03-2::2.5::HTS,3.9793103794327016,0.04655904450748922,Other Types,clorprenaline,adrenergic receptor agonist,"ADRB1, ADRB2"
Pancreatic Adenocarcinoma,BRD-A30815329-001-10-5::2.5::HTS,5.788558276022976,0.01645737972282017,Other Types,felodipine,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CALM1, CFTR, NR3C2, PDE1A, PDE1B, TNNC1, TNNC2"
Pancreatic Adenocarcinoma,BRD-A31454688-001-01-6::2.5::HTS,7.485890120112088,0.006420813682904533,Other Types,monostearin,,
Pancreatic Adenocarcinoma,BRD-A34255068-001-34-5::2.5::HTS,4.709746767321669,0.03041622522307261,Other Types,rolipram,phosphodiesterase inhibitor,
Pancreatic Adenocarcinoma,BRD-A35379661-001-04-6::2.5::HTS,7.389298959093544,0.006769871454643514,Other Types,sphingosylphosphorylcholine,gene expression stimulant,GPR12
Pancreatic Adenocarcinoma,BRD-A36057565-001-01-0::2.5::HTS,5.465545731199888,0.019751280557301017,Pancreatic Adenocarcinoma,bruceantin,protein synthesis inhibitor,
Pancreatic Adenocarcinoma,BRD-A37704979-001-10-7::2.5::HTS,4.524564837770513,0.033850356227750775,Other Types,SB-203580,p38 MAPK inhibitor,"AKT1, ALOX5, CHEK1, CYP2D6, CYP3A4, GAK, GSK3B, LCK, MAPK1, MAPK10, MAPK11, MAPK12, MAPK14, MAPK8, MAPK9, PRKCA, RAF1, RIPK2, ROCK1, RPS6KB1, SGK1, SRC, TNF"
Pancreatic Adenocarcinoma,BRD-A39390670-236-10-7::2.5::HTS,4.983281754429855,0.025988022364375682,Pancreatic Adenocarcinoma,rabeprazole,"ATPase inhibitor, gastrin inhibitor",ATP4A
Pancreatic Adenocarcinoma,BRD-A40940854-001-01-1::2.5::HTS,3.8788916404345533,0.049391960642877375,Pancreatic Adenocarcinoma,ibuproxam,"cyclooxygenase inhibitor, prostaglandin inhibitor",ALOX5
Pancreatic Adenocarcinoma,BRD-A44448661-001-04-8::2.5::HTS,4.115257131257673,0.04296905438169117,Pancreatic Adenocarcinoma,pentobarbital,"barbiturate antiepileptic, GABA receptor modulator","CHRNA4, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B"
Pancreatic Adenocarcinoma,BRD-A44936478-001-01-1::2.5::HTS,3.864467939480591,0.04984241862515561,Other Types,cephalosporin-c-zn,bacterial cell wall synthesis inhibitor,
Pancreatic Adenocarcinoma,BRD-A45153512-001-01-0::2.5::HTS,5.639194921666214,0.017908481142153355,Other Types,bimatoprost,prostanoid receptor agonist,"AKR1C3, PTGER1, PTGER3, PTGFR"
Pancreatic Adenocarcinoma,BRD-A46717658-236-02-5::2.5::HTS,6.691344471112951,0.009945718966449862,Other Types,azlocillin,bacterial cell wall synthesis inhibitor,
Pancreatic Adenocarcinoma,BRD-A49544621-003-02-8::2.5::HTS,6.416546024721366,0.011584982419898618,Other Types,AC-7954-(+/-),urotensin receptor agonist,UTS2R
Pancreatic Adenocarcinoma,BRD-A50998626-001-02-1::2.5::HTS,9.228752749321297,0.0024944873827939646,Other Types,palomid-529,"AKT inhibitor, mTOR inhibitor",MTOR
Pancreatic Adenocarcinoma,BRD-A51831848-001-01-7::2.5::HTS,4.963501373544816,0.026309856699396512,Other Types,enflurane,membrane permeability inhibitor,"ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9, KCNN4"
Pancreatic Adenocarcinoma,BRD-A52660433-066-02-1::2.5::HTS,4.658778416416029,0.031335970086488155,Other Types,tetrindole,monoamine oxidase inhibitor,MAOA
Pancreatic Adenocarcinoma,BRD-A53539450-004-01-7::2.5::HTS,5.0384931483864905,0.025179647370440546,Pancreatic Adenocarcinoma,neo-gilurytmal,,
Pancreatic Adenocarcinoma,BRD-A54927599-001-16-9::2.5::HTS,5.4509639191242965,0.019915127877561497,Pancreatic Adenocarcinoma,KF-38789,P selectin inhibitor,SELP
Pancreatic Adenocarcinoma,BRD-A56152450-001-02-0::2.5::HTS,7.216399135856416,0.0074515925526393535,Other Types,dimercaprol,chelating agent,
Pancreatic Adenocarcinoma,BRD-A57798112-001-03-7::2.5::HTS,15.591755868564132,8.867308211409925e-05,Other Types,PD-318088,MEK inhibitor,MAP2K1
Pancreatic Adenocarcinoma,BRD-A57886255-001-01-1::2.5::HTS,4.129545360364375,0.042614656043503736,Pancreatic Adenocarcinoma,golgicide-a,ARF inhibitor,GBF1
Pancreatic Adenocarcinoma,BRD-A58564983-001-04-6::2.5::HTS,4.8982599706831715,0.027284727733506202,Other Types,selamectin,nematocide,
Pancreatic Adenocarcinoma,BRD-A64610707-001-04-4::2.5::HTS,5.450925784352515,0.01991233907038188,Pancreatic Adenocarcinoma,pranoprofen,cyclooxygenase inhibitor,
Pancreatic Adenocarcinoma,BRD-A64977602-001-15-9::2.5::HTS,5.419210450646366,0.020273574897988162,Pancreatic Adenocarcinoma,mirtazapine,"adrenergic receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2A, HTR2B, HTR2C, HTR3A, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4"
Pancreatic Adenocarcinoma,BRD-A67748489-001-10-0::2.5::HTS,10.387638444518064,0.00134320878072475,Pancreatic Adenocarcinoma,K-858,kinesin-like spindle protein inhibitor,KIF11
Pancreatic Adenocarcinoma,BRD-A68631409-001-05-4::2.5::HTS,5.008527890270506,0.025619336837592006,Pancreatic Adenocarcinoma,evodiamine,"ATPase inhibitor, TRPV agonist",TRPV1
Pancreatic Adenocarcinoma,BRD-A70858459-001-01-7::2.5::HTS,7.496350313492503,0.006379056873463885,Pancreatic Adenocarcinoma,estramustine,DNA alkylating agent,"ESR1, ESR2, MAP1A, MAP2"
Pancreatic Adenocarcinoma,BRD-A72711497-236-03-8::2.5::HTS,6.077754498397919,0.013988296392091072,Pancreatic Adenocarcinoma,lasalocid,bacterial permeability inducer,
Pancreatic Adenocarcinoma,BRD-A73871920-236-03-6::2.5::HTS,10.728091054226006,0.0011207902968540704,Pancreatic Adenocarcinoma,nanchangmycin,other antibiotic,
Pancreatic Adenocarcinoma,BRD-A80017228-001-25-7::2.5::HTS,5.068269729861715,0.0247538974749562,Other Types,bendroflumethiazide,sodium/potassium/chloride transporter inhibitor,"CA1, CA2, CA4, KCNMA1, SLC12A1, SLC12A3"
Pancreatic Adenocarcinoma,BRD-A83644949-236-01-6::2.5::HTS,4.140886612422871,0.04234177993832424,Other Types,ardeparin,thrombin inhibitor,"SERPINC1, SERPIND1"
Pancreatic Adenocarcinoma,BRD-A85667082-001-12-7::2.5::HTS,5.782387940308643,0.016512866844553907,Other Types,fulvestrant,estrogen receptor antagonist,"ESR1, ESR2, GPER1"
Pancreatic Adenocarcinoma,BRD-A86248581-001-01-4::2.5::HTS,5.832843650508047,0.01606144513490118,Other Types,tetrahydrouridine,cytidine deaminase inhibitor,CDA
Pancreatic Adenocarcinoma,BRD-A86619021-001-04-8::2.5::HTS,4.654869892009722,0.031392473923222156,Pancreatic Adenocarcinoma,andrographolide,tumor necrosis factor production inhibitor,NFKB1
Pancreatic Adenocarcinoma,BRD-A86871940-001-01-9::2.5::HTS,7.11395557513302,0.007879858308192005,Other Types,nicaraven,free radical scavenger,
Pancreatic Adenocarcinoma,BRD-A87983072-001-01-1::2.5::HTS,8.805302395336636,0.0031325699977017684,Pancreatic Adenocarcinoma,benzotript,CCK receptor antagonist,"CCKAR, CCKBR"
Pancreatic Adenocarcinoma,BRD-A89337244-001-02-9::2.5::HTS,6.026396074044217,0.014399833159459877,Other Types,PD-102807,acetylcholine receptor antagonist,CHRM4
Pancreatic Adenocarcinoma,BRD-A90515964-001-16-5::2.5::HTS,7.007427825936936,0.008346982999497944,Pancreatic Adenocarcinoma,guaifenesin,expectorant,
Pancreatic Adenocarcinoma,BRD-A91822151-001-05-0::2.5::HTS,5.869331886083346,0.01573122598573104,Other Types,picrotin,GABA receptor antagonist,"GABRA1, GABRR1, GLRA1, GLRA2, GLRA3, GLRB"
Pancreatic Adenocarcinoma,BRD-A93000692-001-08-1::2.5::HTS,3.950891194079662,0.047332249333170165,Other Types,ciglitazone,PPAR receptor agonist,PPARG
Pancreatic Adenocarcinoma,BRD-A94624445-236-17-0::2.5::HTS,5.996138328833817,0.01465893882226523,Other Types,bucladesine,"adenosine receptor agonist, cAMP stimulant",PRKACA
Pancreatic Adenocarcinoma,BRD-A94756469-001-04-7::2.5::HTS,4.358813978694969,0.037267640738640966,Pancreatic Adenocarcinoma,digoxin,ATPase inhibitor,ATP1A1
Pancreatic Adenocarcinoma,BRD-A96456596-001-02-2::2.5::HTS,4.713748821658169,0.030340077209052237,Other Types,FPL-55712,leukotriene receptor antagonist,
Pancreatic Adenocarcinoma,BRD-K00259736-001-16-4::2.5::HTS,6.50589037678207,0.011019581741972208,Pancreatic Adenocarcinoma,colchicine,microtubule inhibitor,"GLRA1, GLRA2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8"
Pancreatic Adenocarcinoma,BRD-K00674894-001-01-4::2.5::HTS,4.405665876052257,0.03628431584771828,Other Types,orteronel,"androgen biosynthesis inhibitor, androgen receptor antagonist, cytochrome P450 inhibitor",CYP17A1
Pancreatic Adenocarcinoma,BRD-K01507359-001-22-9::2.5::HTS,6.964542686513826,0.00855967535543005,Pancreatic Adenocarcinoma,rifampin,RNA polymerase inhibitor,"NR1I2, SLCO1A2, SLCO1B1, SLCO1B3"
Pancreatic Adenocarcinoma,BRD-K01674964-300-06-3::2.5::HTS,3.9846508723882237,0.04640561319975124,Other Types,histamine,histamine receptor agonist,"HRH1, HRH2, HRH3, HRH4"
Pancreatic Adenocarcinoma,BRD-K01773560-001-02-4::2.59::HTS,4.33996480712653,0.03769923761385989,Pancreatic Adenocarcinoma,UNC2250,MER tyrosine kinase inhibitor,MERTK
Pancreatic Adenocarcinoma,BRD-K02292852-001-02-1::2.5::HTS,4.667278156646915,0.03117068076916395,Other Types,cefoperazone,bacterial cell wall synthesis inhibitor,
Pancreatic Adenocarcinoma,BRD-K02637541-001-18-0::2.5::HTS,7.8008286714507005,0.005402763145291165,Other Types,celecoxib,cyclooxygenase inhibitor,"CA12, PDPK1, PTGS2"
Pancreatic Adenocarcinoma,BRD-K03289018-001-02-7::2.5::HTS,12.32009693188688,0.0004840365267755989,Pancreatic Adenocarcinoma,CCT137690,Aurora kinase inhibitor,"AURKA, AURKB, AURKC"
Pancreatic Adenocarcinoma,BRD-K03390685-001-01-7::2.5::HTS,12.282128241270522,0.0004943064778050141,Other Types,cobimetinib,MEK inhibitor,
Pancreatic Adenocarcinoma,BRD-K04111260-001-10-0::2.5::HTS,3.884437144915976,0.04923295620395086,Other Types,raclopride,dopamine receptor antagonist,"DRD2, DRD3, HTR1A"
Pancreatic Adenocarcinoma,BRD-K04264130-001-01-4::2.5::HTS,3.9658997357596526,0.04691863709219298,Other Types,favipiravir,RNA polymerase inhibitor,
Pancreatic Adenocarcinoma,BRD-K05104363-001-10-0::2.5::HTS,10.890096305588271,0.0010307144752158702,Other Types,PD-184352,MEK inhibitor,"MAP2K1, MAP3K1, MAP3K2"
Pancreatic Adenocarcinoma,BRD-K05446112-001-01-8::2.5::HTS,8.701123100388358,0.0033137591244990156,Other Types,ledipasvir,HCV inhibitor,
Pancreatic Adenocarcinoma,BRD-K05673000-236-12-1::2.5::HTS,5.887650530711266,0.015563774676152215,Other Types,dicloxacillin,bacterial cell wall synthesis inhibitor,
Pancreatic Adenocarcinoma,BRD-K06147391-300-06-8::2.5::HTS,4.64120100176612,0.031641296817598086,Other Types,telenzepine,acetylcholine receptor antagonist,CHRM1
Pancreatic Adenocarcinoma,BRD-K06542892-001-01-9::2.5::HTS,5.167706509818019,0.023395334575277094,Other Types,ASP3026,ALK tyrosine kinase receptor inhibitor,ALK
Pancreatic Adenocarcinoma,BRD-K06674495-334-03-2::2.5::HTS,5.180733697330162,0.02321740424385027,Pancreatic Adenocarcinoma,nafamostat,serine protease inhibitor,"ASIC1, ASIC2, ASIC3, C1R, PRSS1, TPSAB1, TRPM7"
Pancreatic Adenocarcinoma,BRD-K06980535-003-25-9::2.5::HTS,4.314811063322143,0.03825495531951968,Other Types,promazine,dopamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, HRH1, HTR2A, HTR2C"
Pancreatic Adenocarcinoma,BRD-K08111712-001-16-7::2.5::HTS,10.784867749186413,0.001087921298736207,Pancreatic Adenocarcinoma,chloramphenicol,bacterial 50S ribosomal subunit inhibitor,CD55
Pancreatic Adenocarcinoma,BRD-K08251020-001-01-0::2.5::HTS,7.62825188716935,0.005939623107799271,Other Types,falecalcitriol,vitamin D receptor agonist,VDR
Pancreatic Adenocarcinoma,BRD-K08542803-001-03-1::0.8::HTS,5.576013061843094,0.018551423387531706,Pancreatic Adenocarcinoma,gambogic-acid,caspase activator,BCL2
Pancreatic Adenocarcinoma,BRD-K08998509-001-02-4::2.5::HTS,6.045904064211887,0.014241126740644004,Pancreatic Adenocarcinoma,fananserin,"dopamine receptor antagonist, serotonin receptor antagonist",HTR2A
Pancreatic Adenocarcinoma,BRD-K09090523-001-02-1::2.5::HTS,5.431309908932413,0.020134327298459802,Other Types,firocoxib,cyclooxygenase inhibitor,PTGS2
Pancreatic Adenocarcinoma,BRD-K10673031-004-02-0::2.5::HTS,3.8929339047863394,0.04898186112182356,Pancreatic Adenocarcinoma,S-Isopropylisothiourea,nitric oxide synthase inhibitor,NOS3
Pancreatic Adenocarcinoma,BRD-K11373525-003-02-1::2.5::HTS,4.180501212142033,0.04136115494385551,Other Types,ZD-7155,angiotensin receptor antagonist,AGTR1
Pancreatic Adenocarcinoma,BRD-K11640013-236-10-1::2.5::HTS,4.154322287238886,0.042002780179012156,Pancreatic Adenocarcinoma,sulfamethazine,PABA antagonist,
Pancreatic Adenocarcinoma,BRD-K12014493-001-02-2::2.5::HTS,6.3928666072534,0.011749392650489835,Other Types,betaine,nitric oxide donor,
Pancreatic Adenocarcinoma,BRD-K12040459-001-06-0::2.5::HTS,5.025516101871133,0.025369374594407766,Pancreatic Adenocarcinoma,AT7867,AKT inhibitor,"AKT2, GSK3B, PKIA, PRKACA"
Pancreatic Adenocarcinoma,BRD-K12047401-001-01-5::2.5::HTS,9.742377345684163,0.0018992312058784449,Other Types,palifosfamide,DNA alkylating agent,
Pancreatic Adenocarcinoma,BRD-K12120659-305-02-2::2.5::HTS,5.561626212090403,0.018706046613185486,Pancreatic Adenocarcinoma,GR-144053,integrin antagonist,"ITGA2B, ITGB3"
Pancreatic Adenocarcinoma,BRD-K12251893-065-04-7::2.5::HTS,9.570656828240633,0.002076809862584744,Pancreatic Adenocarcinoma,vincristine,tubulin polymerization inhibitor,"TUBA4A, TUBB"
Pancreatic Adenocarcinoma,BRD-K12343256-001-08-9::2.5::HTS,16.443616269833303,5.725023329119179e-05,Other Types,trametinib,MEK inhibitor,"MAP2K1, MAP2K2"
Pancreatic Adenocarcinoma,BRD-K12539581-001-23-7::2.5::HTS,4.102277997572628,0.04329757631852872,Pancreatic Adenocarcinoma,nocodazole,tubulin polymerization inhibitor,HPGDS
Pancreatic Adenocarcinoma,BRD-K12807006-001-18-5::2.5::HTS,3.9968346341488115,0.04606939734542382,Pancreatic Adenocarcinoma,kaempferol,"bone resorption inhibitor, estrogen-related receptor inverse agonist","AKR1B1, ALOX15B, ALOX5, AR, CYP1B1, GLO1, HSD17B1, UGT3A1"
Pancreatic Adenocarcinoma,BRD-K12867552-001-04-7::2.5::HTS,6.079118401574467,0.013989305524508524,Pancreatic Adenocarcinoma,PCI-24781,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6"
Pancreatic Adenocarcinoma,BRD-K12885236-001-02-7::2.5::HTS,5.407700484593699,0.020408293672045705,Pancreatic Adenocarcinoma,dapivirine,non-nucleoside reverse transcriptase inhibitor,"CYP3A4, CYP3A5"
Pancreatic Adenocarcinoma,BRD-K13167095-001-02-9::2.5::HTS,5.454749015501585,0.019866087183936648,Pancreatic Adenocarcinoma,AR-42,HDAC inhibitor,HDAC1
Pancreatic Adenocarcinoma,BRD-K13169950-001-14-4::2.5::HTS,10.033284873859596,0.0016220457247781118,Pancreatic Adenocarcinoma,NSC-3852,HDAC inhibitor,HDAC1
Pancreatic Adenocarcinoma,BRD-K13183738-317-10-2::2.5::HTS,9.787125059702376,0.0018492690989589775,Pancreatic Adenocarcinoma,pentamidine,anti-pneumocystis agent,TRDMT1
Pancreatic Adenocarcinoma,BRD-K13302470-001-02-7::2.5::HTS,4.293840948386035,0.03870611907729283,Other Types,KY02111,Wnt pathway inhibitor,DKK1
Pancreatic Adenocarcinoma,BRD-K13486660-001-01-0::2.5::HTS,4.603329945718293,0.03233768020138947,Other Types,sulfacarbamide,,
Pancreatic Adenocarcinoma,BRD-K13810148-311-03-2::2.5::HTS,10.328480283369512,0.0013850236858527567,Pancreatic Adenocarcinoma,givinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
Pancreatic Adenocarcinoma,BRD-K13994703-003-15-8::2.5::HTS,4.815167395014562,0.02862476098612316,Other Types,propranolol-(S),adrenergic receptor antagonist,"ADRB1, ADRB2, ADRB3, HTR1A, HTR1B, HTR5A, SLC10A1"
Pancreatic Adenocarcinoma,BRD-K14401183-001-10-7::2.5::HTS,5.125614786246203,0.02396104673912945,Other Types,avobenzone,UV blocker,TYR
Pancreatic Adenocarcinoma,BRD-K15025317-001-15-1::2.5::HTS,4.75251361511607,0.029675742070847996,Pancreatic Adenocarcinoma,BAY-11-7082,NFkB pathway inhibitor,RELA
Pancreatic Adenocarcinoma,BRD-K15164005-001-05-6::2.5::HTS,5.195171179472739,0.023029186913434866,Pancreatic Adenocarcinoma,apoptosis-activator-II,carboxylesterase inhibitor,"BCHE, CES1"
Pancreatic Adenocarcinoma,BRD-K15179513-001-03-4::2.5::HTS,4.085912568335787,0.04372243558078104,Other Types,NVP-ADW742,insulin growth factor receptor inhibitor,IGF1R
Pancreatic Adenocarcinoma,BRD-K15898725-001-01-7::2.5::HTS,6.287296749458174,0.012443071896263294,Pancreatic Adenocarcinoma,maytansinol-isobutyrate,,
Pancreatic Adenocarcinoma,BRD-K16485616-001-08-9::2.5::HTS,6.880480078989114,0.008954187782894536,Pancreatic Adenocarcinoma,mocetinostat,HDAC inhibitor,"HDAC1, HDAC11, HDAC2, HDAC3"
Pancreatic Adenocarcinoma,BRD-K16810791-001-01-0::2.5::HTS,4.14875612799694,0.042133231261008736,Other Types,LGK-974,porcupine inhibitor,PORCN
Pancreatic Adenocarcinoma,BRD-K17555800-003-01-5::2.5::HTS,8.152193811881046,0.004460330660960229,Pancreatic Adenocarcinoma,talmapimod,p38 MAPK inhibitor,"MAPK11, MAPK14"
Pancreatic Adenocarcinoma,BRD-K18135438-001-16-7::2.5::HTS,5.403517994306031,0.020454818770643896,Pancreatic Adenocarcinoma,chenodeoxycholic-acid,"11-beta hydroxysteroid dehydrogenase inhibitor, FXR agonist","HSD11B1, NR1H4"
Pancreatic Adenocarcinoma,BRD-K18157228-001-01-7::2.5::HTS,5.135190978684378,0.023826324466776745,Pancreatic Adenocarcinoma,fdcyd,DNA methyltransferase inhibitor,
Pancreatic Adenocarcinoma,BRD-K18323388-001-01-1::2.5::HTS,13.078380602440948,0.00032600162563219836,Other Types,uridine-triacetate,,
Pancreatic Adenocarcinoma,BRD-K19111024-001-20-9::2.5::HTS,10.377915274978188,0.0013522874017172204,Pancreatic Adenocarcinoma,clofibric-acid,PPAR receptor agonist,PPARA
Pancreatic Adenocarcinoma,BRD-K19284129-001-02-6::2.5::HTS,4.3421546953383325,0.037650308992514925,Other Types,salvinorin-a,opioid receptor agonist,"OPRD1, OPRK1, OPRM1"
Pancreatic Adenocarcinoma,BRD-K21071223-001-02-8::2.5::HTS,5.451405342638913,0.019908852726502214,Other Types,VP-20629,beta amyloid antagonist,"PLA2G2E, SLC36A1"
Pancreatic Adenocarcinoma,BRD-K21361524-001-01-1::2.5::HTS,4.84896994975567,0.028068089483280302,Pancreatic Adenocarcinoma,selinexor,exportin antagonist,XPO1
Pancreatic Adenocarcinoma,BRD-K21520694-236-02-6::2.5::HTS,8.036288100932852,0.0047498935278202006,Other Types,sulfacetamide,PABA antagonist,
Pancreatic Adenocarcinoma,BRD-K21548250-003-19-1::2.5::HTS,4.452615358905876,0.03529556169108565,Other Types,moracizine,sodium channel blocker,SCN5A
Pancreatic Adenocarcinoma,BRD-K21718444-001-06-8::2.5::HTS,5.3860894450747505,0.020654872982474023,Pancreatic Adenocarcinoma,KW-2449,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor","ABL1, AURKA, AURKB, FLT3"
Pancreatic Adenocarcinoma,BRD-K22503835-001-11-0::2.5::HTS,6.132482518465664,0.013566926707409398,Pancreatic Adenocarcinoma,scriptaid,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
